Crop,Geolocation,Level,2010 Quarter1,2010 Quarter2,2010 Quarter3,2010 Quarter4,2011 Quarter1,2011 Quarter2,2011 Quarter3,2011 Quarter4,2012 Quarter1,2012 Quarter2,2012 Quarter3,2012 Quarter4,2013 Quarter1,2013 Quarter2,2013 Quarter3,2013 Quarter4,2014 Quarter1,2014 Quarter2,2014 Quarter3,2014 Quarter4,2015 Quarter1,2015 Quarter2,2015 Quarter3,2015 Quarter4,2016 Quarter1,2016 Quarter2,2016 Quarter3,2016 Quarter4,2017 Quarter1,2017 Quarter2,2017 Quarter3,2017 Quarter4,2018 Quarter1,2018 Quarter2,2018 Quarter3,2018 Quarter4,2019 Quarter1,2019 Quarter2,2019 Quarter3,2019 Quarter4,2020 Quarter1,2020 Quarter2,2020 Quarter3,2020 Quarter4,2021 Quarter1,2021 Quarter2,2021 Quarter3,2021 Quarter4,2008-01-15,2008-02-15,2008-03-15,2008-04-15,2008-05-15,2008-06-15,2008-07-15,2008-08-15,2008-09-15,2008-10-15,2008-11-15,2008-12-15,2009-01-15,2009-02-15,2009-03-15,2009-04-15,2009-05-15,2009-06-15,2009-07-15,2009-08-15,2009-09-15,2009-10-15,2009-11-15,2009-12-15,2010-01-15,2010-02-15,2010-03-15,2010-04-15,2010-05-15,2010-06-15,2010-07-15,2010-08-15,2010-09-15,2010-10-15,2010-11-15,2010-12-15,2011-01-15,2011-02-15,2011-03-15,2011-04-15,2011-05-15,2011-06-15,2011-07-15,2011-08-15,2011-09-15,2011-10-15,2011-11-15,2011-12-15,2012-01-15,2012-02-15,2012-03-15,2012-04-15,2012-05-15,2012-06-15,2012-07-15,2012-08-15,2012-09-15,2012-10-15,2012-11-15,2013-01-15,2013-02-15,2013-03-15,2013-04-15,2013-07-15,2013-08-15,2014-07-15,2014-09-15,2014-10-15,2014-11-15,2014-12-15,2015-01-15,2015-02-15,2015-03-15,2015-04-15,2015-05-15,2015-06-15,2015-07-15,2015-08-15,2015-09-15,2015-10-15,2015-11-15,2015-12-15,2016-01-15,2016-02-15,2016-03-15,2016-04-15,2016-05-15,2016-06-15,2016-07-15,2016-08-15,2016-09-15,2016-10-15,2016-11-15,2016-12-15,2017-01-15,2017-02-15,2017-03-15,2017-04-15,2017-05-15,2017-06-15,2017-07-15,2017-08-15,2017-09-15,2017-10-15,2017-11-15,2017-12-15,2018-01-15,2018-02-15,2018-03-15,2018-04-15,2018-05-15,2018-06-15,2018-07-15,2018-08-15,2018-09-15,2018-10-15,2018-11-15,2018-12-15,2019-01-15,2019-02-15,2019-03-15,2019-04-15,2019-05-15,2020-05-15,2020-06-15,2020-07-15,2020-08-15,2020-09-15,2020-10-15,2020-11-15,2020-12-15,2021-01-15,2021-02-15,2021-03-15,2021-04-15,2021-05-15,2021-06-15,2021-07-15,2021-08-15,2021-09-15,2021-10-15,2021-11-15,2021-12-15,2022-01-15,2022-02-15,2022-03-15
Banana Lakatan,REGION IX (ZAMBOANGA PENINSULA),R,7333.15,9043.98,16059.56,20935.57,7108.87,10432.35,13640.54,14770.54,7350.1,11465.96,12749.11,17616.11,7927.45,14056.53,13509.21,20250.53,8567.7,18100.32,14494.92,20558.88,8794.61,18343.71,15605.25,21012.69,8469.68,17258.44,15310.95,20870.57,8271.99,17524.95,16058.79,20225.72,8321.16,17667.82,16658.05,19692.17,8084.41,17080.51,17689.0,19989.12,7971.96,16336.29,18801.26,21710.93,8036.63,17880.51,19888.12,22459.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.839999999999996,61.0,60.56999999999999,57.39333333333334,57.10333333333333,57.25333333333334,51.666666666666664,50.076666666666675,61.423333333333325,51.5,53.75,54.065,51.88,48.44,46.875,43.47,47.86,44.045,43.675,43.035,54.4275,52.135,51.7425
Banana Lakatan,REGION X (NORTHERN MINDANAO),R,47071.06,37242.5,42552.5,38057.07,47562.13,38905.15,44845.1,35000.32,49969.68,42610.16,45835.48,30678.55,48253.0,41416.99,46297.02,31345.6,48476.05,42774.59,46484.1,31163.45,48490.91,41317.5,47356.65,31102.15,48763.67,40213.25,47573.41,31839.24,48505.49,41289.72,47726.35,32217.46,49036.49,41643.04,48231.41,32628.4,49495.53,40291.97,48991.89,33966.2,49588.49,41838.83,50607.18,35097.16,51233.95,45764.77,52120.69,35202.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.586666666666666,60.44333333333333,60.096666666666664,59.678333333333335,58.281666666666666,59.61666666666667,59.47833333333333,58.65833333333333,52.25333333333333,51.565,51.565,50.315,50.625,50.94,50.315,48.44,48.44,46.59,45.655,44.725,43.42333333333334,43.336666666666666,42.71
Banana Lakatan,REGION XI (DAVAO REGION),R,33283.09,58705.19,58300.63,57207.45,38747.48,61484.29,60020.03,59621.76,40964.91,66495.84,60941.99,55690.67,37274.43,58251.22,55272.22,53101.57,41578.64,61152.62,59933.51,56125.93,42995.97,61996.02,62472.97,57730.64,39910.94,61334.36,62425.72,59104.52,40851.77,61914.99,63134.35,59640.75,43603.85,59145.61,65270.2,59016.91,42227.17,51470.35,63397.97,59490.6,42826.93,51532.57,64857.3,60907.72,45148.56,53589.46,66817.59,61535.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.432500000000005,53.7975,53.985,52.1075,50.4025,48.6475,44.4525,43.644,48.648,43.1,43.7525,45.7825,45.1575,42.3775,40.9725,41.792500000000004,39.845,40.0325,39.565,38.25,38.992000000000004,40.794,43.144
Banana Lakatan,REGION XII (SOCCSKSARGEN),R,50437.07,56529.25,62336.83,49886.21,50449.88,57216.01,64661.07,50814.34,48061.25,61180.56,64399.16,51969.51,48282.3,62142.27,66410.08,52488.86,47258.19,61923.45,66561.65,55085.08,45970.88,54199.7,67742.36,55614.07,33581.15,34724.09,50167.82,55502.03,33695.08,39069.39,53050.72,54939.7,33206.13,40090.73,54361.5,56491.82,31285.06,38595.72,52187.25,55338.54,30957.12,37804.43,53942.16,59818.55,31928.82,47686.31,54845.89,61700.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.17,43.87,43.664,44.088,46.262,45.565999999999995,44.212,43.905,42.868,41.944,43.0025,45.565,45.0025,42.065,40.3175,39.697500000000005,39.19,40.595,39.6275,40.065,40.0325,38.7825,36.845
Banana Lakatan,REGION XIII (CARAGA),R,5511.64,8759.92,7245.02,5327.74,4892.38,5758.52,6385.47,4955.78,4083.65,5415.72,6057.73,4670.5,3539.3,4978.5,5618.92,4146.3,3602.74,5515.81,6271.34,4707.72,3322.7,5342.66,6100.62,4726.98,3800.69,5792.91,7042.69,5198.41,3875.35,5931.91,7239.96,4853.17,4277.53,6012.47,6915.57,4628.6,3995.3,5268.55,6726.46,5263.18,4122.78,5478.66,7807.33,5175.37,4168.81,5463.77,7498.88,6255.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.104,60.30799999999999,58.836,58.57000000000001,58.452,58.001999999999995,57.339999999999996,57.794,63.2975,62.845,60.00333333333333,57.5,55.419999999999995,55.626666666666665,55.00333333333333,51.75333333333333,46.77,46.76333333333334,48.080000000000005,47.26333333333333,44.480000000000004,45.0525,45.1575
Banana Lakatan,AUTONOMOUS REGION IN MUSLIM MINDANAO,R,20561.18,23540.76,19552.4,26360.59,23528.5,23764.52,20748.98,27221.93,24362.77,23968.86,22708.51,27873.07,27666.83,24645.89,23197.15,26932.8,29108.05,25871.75,25020.6,29405.0,29775.4,25249.89,30230.64,37848.93,29601.0,25240.8,30592.81,38336.67,29934.29,25367.63,30797.95,43986.0,30316.39,27990.5,33269.23,44470.0,30405.12,28384.46,33397.05,46317.15,30759.05,28703.1,34889.92,48054.81,31634.68,29066.06,35365.38,48430.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.949999999999996,46.32,45.25333333333333,45.406666666666666,45.586666666666666,45.67333333333334,44.446666666666665,45.11333333333334,46.94,58.29,54.334999999999994,53.989999999999995,56.614999999999995,55.114999999999995,52.54,51.95,51.5,51.239999999999995,50.379999999999995,49.945,61.36333333333334,61.32,61.333333333333336
Banana Latundan,CORDILLERA ADMINISTRATIVE REGION (CAR),R,1441.16,1047.84,1727.5,791.37,1431.14,1114.02,1668.49,758.0,1422.83,1147.72,1621.33,812.22,1594.55,1904.82,1717.0,800.8,1231.85,1784.91,2111.75,779.59,1300.77,1932.39,2028.28,737.1,1299.92,2006.48,2303.76,429.6,918.87,617.12,2339.77,489.67,1100.34,798.73,2332.84,384.33,666.62,410.65,2208.98,416.25,827.6,569.62,2881.54,418.86,882.86,576.66,3058.55,525.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.99571428571429,47.06285714285714,44.651428571428575,44.87714285714286,42.61,41.96999999999999,42.79714285714285,42.20428571428572,59.195,53.5,60.0,66.25,70.0,70.0,60.0,56.25,61.25,60.0,58.75,58.75,49.375,51.25,52.815
Banana Latundan,REGION I (ILOCOS REGION),R,4954.24,2496.44,2239.02,4891.79,5233.62,2603.99,2337.91,4455.32,5426.5,2725.3,2426.35,4598.24,5521.71,2833.79,2485.64,4754.14,5421.19,2949.91,2495.29,4810.18,5614.4,3008.7,2503.19,4387.18,5394.17,2773.35,2604.18,4139.47,4959.68,2861.39,2724.22,4502.35,5266.56,2995.23,2790.91,3802.14,4993.46,3000.16,2757.14,3945.52,5126.16,3124.51,2876.04,4087.62,5333.12,3206.62,3053.12,3889.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.488,51.982000000000006,51.11,54.45399999999999,53.13199999999999,51.128,50.57,56.694,60.696666666666665,62.35999999999999,62.5,61.875,60.625,59.375,61.5,63.125,61.875,57.5,50.315,49.375,53.75,56.25,64.375
Banana Latundan,REGION II (CAGAYAN VALLEY),R,6929.32,25919.15,8779.23,7221.48,5801.05,21042.78,8046.83,3963.99,6255.2,25401.89,9825.41,6124.1,8134.01,29714.46,10232.12,5536.44,7253.44,28264.31,10693.72,6610.34,7975.76,29379.0,10615.21,5557.22,6302.25,29791.4,10977.09,4685.15,3528.48,21991.63,9751.34,5533.04,4373.83,30221.5,10736.2,3088.19,2933.9,24393.16,9852.42,3146.31,3499.69,27581.27,11084.61,3233.51,3498.5,27688.39,11505.78,3605.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.54600000000001,35.342,36.233999999999995,39.548,39.202,36.634,33.8925,33.546,40.04,45.335,44.38,44.38,43.13,43.13,44.38,30.47,28.48,29.14,35.11,35.76,31.25,35.0,35.63
Banana Latundan,REGION III (CENTRAL LUZON),R,2184.93,2802.21,2056.53,2471.25,2186.25,2868.98,2063.48,2374.06,2175.29,2920.74,2088.67,2392.57,2138.3,3305.43,1920.85,2274.93,1971.62,3076.78,2001.35,2460.35,2042.73,3134.38,2308.67,2158.81,1727.54,2470.19,2160.34,2230.45,1669.93,2584.45,2145.98,2324.79,1765.32,2699.72,2176.56,2493.87,1950.55,2770.86,2449.82,2696.13,2471.28,3033.83,2497.7,2544.75,2422.56,2870.72,2253.27,2333.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.31375,56.6775,56.17,55.71625,55.5025,51.9925,51.35875,54.245,55.852,57.24400000000001,55.47,52.8175,53.597500000000004,53.7525,51.0975,51.2625,50.1975,49.42,49.0325,50.035,49.684,49.444,47.751999999999995
Banana Latundan,REGION IV-A (CALABARZON),R,2451.61,7696.79,6774.19,5085.34,2796.18,7893.84,7042.74,5082.7,2863.28,8082.18,7362.55,5040.38,2888.25,8225.66,7577.28,4299.35,2672.15,8275.91,6816.62,3359.84,2095.81,6773.2,7144.42,4523.6,2515.68,7759.57,8235.52,4793.55,2013.51,7849.87,8975.41,5108.06,1921.88,7817.17,9004.15,5866.99,2001.75,8183.05,7799.79,5646.27,1441.09,7636.89,7328.22,4295.39,1227.07,7451.14,5700.56,4218.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.14833333333333,61.18333333333334,61.943333333333335,61.26,61.70333333333334,61.163333333333334,61.01833333333334,60.655,58.214,55.5,54.5325,55.7825,55.6275,53.7525,52.22,54.2025,53.144999999999996,53.9975,54.102500000000006,52.010000000000005,57.152,55.802,56.778
