Crop,geoloc,quarter,percent_production
Abaca Leafsheath (Umbak),REGION V (BICOL REGION),Q2,0.013756764688440325
Abaca Leafsheath (Umbak),REGION V (BICOL REGION),Q3,0.012186019149986684
Abaca Leafsheath (Umbak),REGION V (BICOL REGION),Q4,0.013586214193538016
Abaca Leafsheath (Umbak),REGION VI (WESTERN VISAYAS),Q1,0.0
Abaca Leafsheath (Umbak),REGION VI (WESTERN VISAYAS),Q2,0.0
Abaca Leafsheath (Umbak),REGION VI (WESTERN VISAYAS),Q3,0.0
Abaca Leafsheath (Umbak),REGION VI (WESTERN VISAYAS),Q4,0.001028933613203275
Abaca Leafsheath (Umbak),REGION VII (CENTRAL VISAYAS),Q1,0.011388341726395792
Abaca Leafsheath (Umbak),REGION VII (CENTRAL VISAYAS),Q2,0.018773016411968824
Abaca Leafsheath (Umbak),REGION VII (CENTRAL VISAYAS),Q3,0.016294724067582127
Abaca Leafsheath (Umbak),REGION VII (CENTRAL VISAYAS),Q4,0.017136161826847383
Abaca Leafsheath (Umbak),REGION VIII (EASTERN VISAYAS),Q1,0.008486144172032426
Abaca Leafsheath (Umbak),REGION VIII (EASTERN VISAYAS),Q2,0.07267191873705263
Abaca Leafsheath (Umbak),REGION VIII (EASTERN VISAYAS),Q3,0.06523633952408818
Abaca Leafsheath (Umbak),REGION VIII (EASTERN VISAYAS),Q4,0.0445431165956394
Abaca Leafsheath (Umbak),REGION X (NORTHERN MINDANAO),Q1,0.00714898032947005
Abaca Leafsheath (Umbak),REGION X (NORTHERN MINDANAO),Q2,0.006232623770528792
Abaca Leafsheath (Umbak),REGION X (NORTHERN MINDANAO),Q3,0.019493267298696767
Abaca Leafsheath (Umbak),REGION X (NORTHERN MINDANAO),Q4,0.006526202941555609
Abaca Leafsheath (Umbak),REGION XI (DAVAO REGION),Q1,0.0
Abaca Leafsheath (Umbak),REGION XI (DAVAO REGION),Q2,0.0
Abaca Leafsheath (Umbak),REGION XI (DAVAO REGION),Q3,0.0
Abaca Leafsheath (Umbak),REGION XI (DAVAO REGION),Q4,0.0
Abaca Leafsheath (Umbak),REGION XII (SOCCSKSARGEN),Q1,2.8083576724325e-05
Abaca Leafsheath (Umbak),REGION XII (SOCCSKSARGEN),Q2,2.9011720614908332e-05
Abaca Leafsheath (Umbak),REGION XII (SOCCSKSARGEN),Q3,0.000826462535020125
Abaca Leafsheath (Umbak),REGION XII (SOCCSKSARGEN),Q4,0.0
Abaca Leafsheath (Umbak),REGION XIII (CARAGA),Q1,0.0688368113522694
Abaca Leafsheath (Umbak),REGION XIII (CARAGA),Q2,0.11144422298747318
Abaca Leafsheath (Umbak),REGION XIII (CARAGA),Q3,0.2304767767516486
Abaca Leafsheath (Umbak),REGION XIII (CARAGA),Q4,0.23678109024801594
Abiu,AUTONOMOUS REGION IN MUSLIM MINDANAO,Q1,0.0
Abiu,AUTONOMOUS REGION IN MUSLIM MINDANAO,Q2,0.0
Abiu,AUTONOMOUS REGION IN MUSLIM MINDANAO,Q3,0.0
Abiu,AUTONOMOUS REGION IN MUSLIM MINDANAO,Q4,0.0
Abiu,CORDILLERA ADMINISTRATIVE REGION (CAR),Q1,0.0
Abiu,CORDILLERA ADMINISTRATIVE REGION (CAR),Q2,0.0
Abiu,CORDILLERA ADMINISTRATIVE REGION (CAR),Q3,0.0
Abiu,CORDILLERA ADMINISTRATIVE REGION (CAR),Q4,0.0
Abiu,MIMAROPA REGION,Q1,0.0
Abiu,MIMAROPA REGION,Q2,0.0
Abiu,MIMAROPA REGION,Q3,0.0
Abiu,MIMAROPA REGION,Q4,0.0
Abiu,REGION I (ILOCOS REGION),Q1,0.0
Abiu,REGION I (ILOCOS REGION),Q2,0.0
Abiu,REGION I (ILOCOS REGION),Q3,0.0
Abiu,REGION I (ILOCOS REGION),Q4,0.0
Abiu,REGION II (CAGAYAN VALLEY),Q1,0.0
Abiu,REGION II (CAGAYAN VALLEY),Q2,0.0
Abiu,REGION II (CAGAYAN VALLEY),Q3,0.0
Abiu,REGION II (CAGAYAN VALLEY),Q4,0.0
Abiu,REGION III (CENTRAL LUZON),Q1,0.0
Abiu,REGION III (CENTRAL LUZON),Q2,0.0
Abiu,REGION III (CENTRAL LUZON),Q3,0.0
Abiu,REGION III (CENTRAL LUZON),Q4,0.0
Abiu,REGION IV-A (CALABARZON),Q1,0.17763576539314196
Abiu,REGION IV-A (CALABARZON),Q2,0.1340879102754412
Abiu,REGION IV-A (CALABARZON),Q3,0.09539747216516142
Abiu,REGION IV-A (CALABARZON),Q4,0.36785756154265753
Abiu,REGION IX (ZAMBOANGA PENINSULA),Q1,0.0
Abiu,REGION IX (ZAMBOANGA PENINSULA),Q2,0.0
Abiu,REGION IX (ZAMBOANGA PENINSULA),Q3,0.0
Abiu,REGION IX (ZAMBOANGA PENINSULA),Q4,0.0
Abiu,REGION V (BICOL REGION),Q1,0.0
Abiu,REGION V (BICOL REGION),Q2,0.0
Abiu,REGION V (BICOL REGION),Q3,0.0
Abiu,REGION V (BICOL REGION),Q4,0.0
Abiu,REGION VI (WESTERN VISAYAS),Q1,0.03186907838070628
Abiu,REGION VI (WESTERN VISAYAS),Q2,0.03186907838070628
Abiu,REGION VI (WESTERN VISAYAS),Q3,0.0
Abiu,REGION VI (WESTERN VISAYAS),Q4,0.0
Abiu,REGION VII (CENTRAL VISAYAS),Q1,0.0
Abiu,REGION VII (CENTRAL VISAYAS),Q2,0.0
Abiu,REGION VII (CENTRAL VISAYAS),Q3,0.0
Abiu,REGION VII (CENTRAL VISAYAS),Q4,0.0
Abiu,REGION VIII (EASTERN VISAYAS),Q1,0.0
Abiu,REGION VIII (EASTERN VISAYAS),Q2,0.0
Abiu,REGION VIII (EASTERN VISAYAS),Q3,0.0
Abiu,REGION VIII (EASTERN VISAYAS),Q4,0.0
Abiu,REGION X (NORTHERN MINDANAO),Q1,0.000688705234159775
Abiu,REGION X (NORTHERN MINDANAO),Q2,0.0032051282051282002
Abiu,REGION X (NORTHERN MINDANAO),Q3,0.0
Abiu,REGION X (NORTHERN MINDANAO),Q4,0.0
Abiu,REGION XI (DAVAO REGION),Q1,0.0
Abiu,REGION XI (DAVAO REGION),Q2,0.0
Abiu,REGION XI (DAVAO REGION),Q3,0.0
Abiu,REGION XI (DAVAO REGION),Q4,0.0
Abiu,REGION XII (SOCCSKSARGEN),Q1,0.005509641873278234
Abiu,REGION XII (SOCCSKSARGEN),Q2,0.004582538673447759
Abiu,REGION XII (SOCCSKSARGEN),Q3,0.05853994490358127
Abiu,REGION XII (SOCCSKSARGEN),Q4,0.08875717497258999
Abiu,REGION XIII (CARAGA),Q1,0.0
Abiu,REGION XIII (CARAGA),Q2,0.0
Abiu,REGION XIII (CARAGA),Q3,0.0
Abiu,REGION XIII (CARAGA),Q4,0.0
African Palm Leaves,AUTONOMOUS REGION IN MUSLIM MINDANAO,Q1,0.03869507350523493
African Palm Leaves,AUTONOMOUS REGION IN MUSLIM MINDANAO,Q2,0.018042193894040732
African Palm Leaves,AUTONOMOUS REGION IN MUSLIM MINDANAO,Q3,0.005465492485963949
African Palm Leaves,AUTONOMOUS REGION IN MUSLIM MINDANAO,Q4,0.0083472897440414
African Palm Leaves,CORDILLERA ADMINISTRATIVE REGION (CAR),Q1,0.0
African Palm Leaves,CORDILLERA ADMINISTRATIVE REGION (CAR),Q2,0.0
African Palm Leaves,CORDILLERA ADMINISTRATIVE REGION (CAR),Q3,0.0
African Palm Leaves,CORDILLERA ADMINISTRATIVE REGION (CAR),Q4,0.0
African Palm Leaves,MIMAROPA REGION,Q1,0.0008390469983777333
African Palm Leaves,MIMAROPA REGION,Q2,0.000629068294932525
African Palm Leaves,MIMAROPA REGION,Q3,0.0013013020996944
African Palm Leaves,MIMAROPA REGION,Q4,0.0008207886955572501
African Palm Leaves,REGION I (ILOCOS REGION),Q1,0.0
African Palm Leaves,REGION I (ILOCOS REGION),Q2,0.0
African Palm Leaves,REGION I (ILOCOS REGION),Q3,0.0
African Palm Leaves,REGION I (ILOCOS REGION),Q4,0.0
African Palm Leaves,REGION II (CAGAYAN VALLEY),Q1,0.0
African Palm Leaves,REGION II (CAGAYAN VALLEY),Q2,0.0
African Palm Leaves,REGION II (CAGAYAN VALLEY),Q3,0.0
African Palm Leaves,REGION II (CAGAYAN VALLEY),Q4,0.0
African Palm Leaves,REGION III (CENTRAL LUZON),Q1,0.0
African Palm Leaves,REGION III (CENTRAL LUZON),Q2,0.0
African Palm Leaves,REGION III (CENTRAL LUZON),Q3,0.0
African Palm Leaves,REGION III (CENTRAL LUZON),Q4,0.0
African Palm Leaves,REGION IV-A (CALABARZON),Q1,0.00122365720459555
African Palm Leaves,REGION IV-A (CALABARZON),Q2,0.005196234065750684
African Palm Leaves,REGION IV-A (CALABARZON),Q3,0.00012112160156234999
African Palm Leaves,REGION IV-A (CALABARZON),Q4,0.00029510464250055
African Palm Leaves,REGION IX (ZAMBOANGA PENINSULA),Q1,0.0
African Palm Leaves,REGION IX (ZAMBOANGA PENINSULA),Q2,0.0
African Palm Leaves,REGION IX (ZAMBOANGA PENINSULA),Q3,5.891513099258612e-06
African Palm Leaves,REGION IX (ZAMBOANGA PENINSULA),Q4,0.0
African Palm Leaves,REGION V (BICOL REGION),Q1,0.0
African Palm Leaves,REGION V (BICOL REGION),Q2,0.0
African Palm Leaves,REGION V (BICOL REGION),Q3,0.0
African Palm Leaves,REGION V (BICOL REGION),Q4,0.0
African Palm Leaves,REGION VI (WESTERN VISAYAS),Q1,0.0
African Palm Leaves,REGION VI (WESTERN VISAYAS),Q2,0.0
African Palm Leaves,REGION VI (WESTERN VISAYAS),Q3,0.0
African Palm Leaves,REGION VI (WESTERN VISAYAS),Q4,0.0
African Palm Leaves,REGION VII (CENTRAL VISAYAS),Q1,0.0
African Palm Leaves,REGION VII (CENTRAL VISAYAS),Q2,0.0
African Palm Leaves,REGION VII (CENTRAL VISAYAS),Q3,0.0
African Palm Leaves,REGION VII (CENTRAL VISAYAS),Q4,0.0
African Palm Leaves,REGION VIII (EASTERN VISAYAS),Q1,0.0
African Palm Leaves,REGION VIII (EASTERN VISAYAS),Q2,1.945131724320371e-06
African Palm Leaves,REGION VIII (EASTERN VISAYAS),Q3,0.0
African Palm Leaves,REGION VIII (EASTERN VISAYAS),Q4,0.0
African Palm Leaves,REGION X (NORTHERN MINDANAO),Q1,0.0
African Palm Leaves,REGION X (NORTHERN MINDANAO),Q2,3.1148711853466216e-05
African Palm Leaves,REGION X (NORTHERN MINDANAO),Q3,0.00045209595496779165
African Palm Leaves,REGION X (NORTHERN MINDANAO),Q4,0.00039146505834799166
African Palm Leaves,REGION XI (DAVAO REGION),Q1,0.0
African Palm Leaves,REGION XI (DAVAO REGION),Q2,0.0
African Palm Leaves,REGION XI (DAVAO REGION),Q3,0.0
African Palm Leaves,REGION XI (DAVAO REGION),Q4,0.0
African Palm Leaves,REGION XII (SOCCSKSARGEN),Q1,0.09803381977878085
African Palm Leaves,REGION XII (SOCCSKSARGEN),Q2,0.15072568295428643
African Palm Leaves,REGION XII (SOCCSKSARGEN),Q3,0.13141141911489077
African Palm Leaves,REGION XII (SOCCSKSARGEN),Q4,0.12707195458552356
African Palm Leaves,REGION XIII (CARAGA),Q1,0.07811116928633495
African Palm Leaves,REGION XIII (CARAGA),Q2,0.08450264001211792
African Palm Leaves,REGION XIII (CARAGA),Q3,0.13223708246696675
African Palm Leaves,REGION XIII (CARAGA),Q4,0.11604731219885296
Agitway,AUTONOMOUS REGION IN MUSLIM MINDANAO,Q1,0.0
Agitway,AUTONOMOUS REGION IN MUSLIM MINDANAO,Q2,0.0
Agitway,AUTONOMOUS REGION IN MUSLIM MINDANAO,Q3,0.0
Agitway,AUTONOMOUS REGION IN MUSLIM MINDANAO,Q4,0.0
Agitway,CORDILLERA ADMINISTRATIVE REGION (CAR),Q1,0.0
Agitway,CORDILLERA ADMINISTRATIVE REGION (CAR),Q2,0.0
Agitway,CORDILLERA ADMINISTRATIVE REGION (CAR),Q3,0.0
Agitway,CORDILLERA ADMINISTRATIVE REGION (CAR),Q4,0.0
Agitway,MIMAROPA REGION,Q1,0.0
Agitway,MIMAROPA REGION,Q2,0.0
Agitway,MIMAROPA REGION,Q3,0.0
Agitway,MIMAROPA REGION,Q4,0.0
Agitway,REGION I (ILOCOS REGION),Q1,0.0
Agitway,REGION I (ILOCOS REGION),Q2,0.0
Agitway,REGION I (ILOCOS REGION),Q3,0.0
Agitway,REGION I (ILOCOS REGION),Q4,0.0
Agitway,REGION II (CAGAYAN VALLEY),Q1,0.0
Agitway,REGION II (CAGAYAN VALLEY),Q2,0.0
Agitway,REGION II (CAGAYAN VALLEY),Q3,0.0
Agitway,REGION II (CAGAYAN VALLEY),Q4,0.0
Agitway,REGION III (CENTRAL LUZON),Q1,0.0
Agitway,REGION III (CENTRAL LUZON),Q2,0.0
Agitway,REGION III (CENTRAL LUZON),Q3,0.0
Agitway,REGION III (CENTRAL LUZON),Q4,0.0
Agitway,REGION IV-A (CALABARZON),Q1,0.0
Agitway,REGION IV-A (CALABARZON),Q2,0.0
Agitway,REGION IV-A (CALABARZON),Q3,0.0
Agitway,REGION IV-A (CALABARZON),Q4,0.0
Agitway,REGION IX (ZAMBOANGA PENINSULA),Q1,0.0
Agitway,REGION IX (ZAMBOANGA PENINSULA),Q2,0.0
Agitway,REGION IX (ZAMBOANGA PENINSULA),Q3,0.0
Agitway,REGION IX (ZAMBOANGA PENINSULA),Q4,0.0
Agitway,REGION V (BICOL REGION),Q1,0.0
Agitway,REGION V (BICOL REGION),Q2,0.0
Agitway,REGION V (BICOL REGION),Q3,0.0
Agitway,REGION V (BICOL REGION),Q4,0.0
Agitway,REGION VI (WESTERN VISAYAS),Q1,0.0
Agitway,REGION VI (WESTERN VISAYAS),Q2,0.0
Agitway,REGION VI (WESTERN VISAYAS),Q3,0.0
Agitway,REGION VI (WESTERN VISAYAS),Q4,0.0
Agitway,REGION VII (CENTRAL VISAYAS),Q1,0.0
Agitway,REGION VII (CENTRAL VISAYAS),Q2,0.0
Agitway,REGION VII (CENTRAL VISAYAS),Q3,0.0
Agitway,REGION VII (CENTRAL VISAYAS),Q4,0.0
Agitway,REGION VIII (EASTERN VISAYAS),Q1,0.17565839151662976
Agitway,REGION VIII (EASTERN VISAYAS),Q2,0.23832825147722755
Agitway,REGION VIII (EASTERN VISAYAS),Q3,0.31329176822634136
Agitway,REGION VIII (EASTERN VISAYAS),Q4,0.27272158877980124
Agitway,REGION X (NORTHERN MINDANAO),Q1,0.0
Agitway,REGION X (NORTHERN MINDANAO),Q2,0.0
Agitway,REGION X (NORTHERN MINDANAO),Q3,0.0
Agitway,REGION X (NORTHERN MINDANAO),Q4,0.0
Agitway,REGION XI (DAVAO REGION),Q1,0.0
Agitway,REGION XI (DAVAO REGION),Q2,0.0
Agitway,REGION XI (DAVAO REGION),Q3,0.0
Agitway,REGION XI (DAVAO REGION),Q4,0.0
Agitway,REGION XII (SOCCSKSARGEN),Q1,0.0
Agitway,REGION XII (SOCCSKSARGEN),Q2,0.0
Agitway,REGION XII (SOCCSKSARGEN),Q3,0.0
Agitway,REGION XII (SOCCSKSARGEN),Q4,0.0
Agitway,REGION XIII (CARAGA),Q1,0.0
Agitway,REGION XIII (CARAGA),Q2,0.0
Agitway,REGION XIII (CARAGA),Q3,0.0
Agitway,REGION XIII (CARAGA),Q4,0.0
Alogbati,AUTONOMOUS REGION IN MUSLIM MINDANAO,Q1,0.002561575564945458
Alogbati,AUTONOMOUS REGION IN MUSLIM MINDANAO,Q2,0.001525190623822525
Alogbati,AUTONOMOUS REGION IN MUSLIM MINDANAO,Q3,0.0019195470253934417
Alogbati,AUTONOMOUS REGION IN MUSLIM MINDANAO,Q4,0.07986327479870566
Alogbati,CORDILLERA ADMINISTRATIVE REGION (CAR),Q1,0.00013167062098713004
Alogbati,CORDILLERA ADMINISTRATIVE REGION (CAR),Q2,7.606368821149183e-05
Alogbati,CORDILLERA ADMINISTRATIVE REGION (CAR),Q3,0.00013060953604092327
Alogbati,CORDILLERA ADMINISTRATIVE REGION (CAR),Q4,5.141805501396369e-05
Alogbati,MIMAROPA REGION,Q1,0.0002439553857651917
Alogbati,MIMAROPA REGION,Q2,0.00013117555254565832
Alogbati,MIMAROPA REGION,Q3,0.00029288261803970834
Alogbati,MIMAROPA REGION,Q4,0.000323749919561625
Alogbati,REGION I (ILOCOS REGION),Q1,2.8913878717564535e-05
Alogbati,REGION I (ILOCOS REGION),Q2,3.4712902508405976e-05
Alogbati,REGION I (ILOCOS REGION),Q3,8.777378895335022e-05
Alogbati,REGION I (ILOCOS REGION),Q4,7.793206431384888e-05
Alogbati,REGION II (CAGAYAN VALLEY),Q1,0.0021633339089223084
Alogbati,REGION II (CAGAYAN VALLEY),Q2,0.0015731776072036667
Alogbati,REGION II (CAGAYAN VALLEY),Q3,0.0014418069847995502
Alogbati,REGION II (CAGAYAN VALLEY),Q4,0.0015699897202092084
Alogbati,REGION III (CENTRAL LUZON),Q1,0.0010174819163006916
Alogbati,REGION III (CENTRAL LUZON),Q2,0.0008172460393112833
Alogbati,REGION III (CENTRAL LUZON),Q3,0.0006984766725643083
Alogbati,REGION III (CENTRAL LUZON),Q4,0.0006457829526925334
Alogbati,REGION IV-A (CALABARZON),Q1,4.197702803127268e-05
Alogbati,REGION IV-A (CALABARZON),Q2,3.65103393805609e-05
Alogbati,REGION IV-A (CALABARZON),Q3,6.57624223926542e-05
Alogbati,REGION IV-A (CALABARZON),Q4,0.00010301584971442915
Alogbati,REGION IX (ZAMBOANGA PENINSULA),Q1,0.017024210859397967
Alogbati,REGION IX (ZAMBOANGA PENINSULA),Q2,0.018035937504986374
Alogbati,REGION IX (ZAMBOANGA PENINSULA),Q3,0.019628373319126525
Alogbati,REGION IX (ZAMBOANGA PENINSULA),Q4,0.020326271383677052
Alogbati,REGION V (BICOL REGION),Q1,5.898540507283682e-05
Alogbati,REGION V (BICOL REGION),Q2,2.4101805473095088e-05
Alogbati,REGION V (BICOL REGION),Q3,0.00010202851274268581
Alogbati,REGION V (BICOL REGION),Q4,5.3080902227564015e-05
Alogbati,REGION VI (WESTERN VISAYAS),Q1,0.07496963499276994
Alogbati,REGION VI (WESTERN VISAYAS),Q2,0.057878896364670925
Alogbati,REGION VI (WESTERN VISAYAS),Q3,0.06451113754524827
Alogbati,REGION VI (WESTERN VISAYAS),Q4,0.06093193184917455
Alogbati,REGION VII (CENTRAL VISAYAS),Q1,0.061373078131756416
Alogbati,REGION VII (CENTRAL VISAYAS),Q2,0.03858149076202651
Alogbati,REGION VII (CENTRAL VISAYAS),Q3,0.04639291306631672
Alogbati,REGION VII (CENTRAL VISAYAS),Q4,0.032416426953870904
Alogbati,REGION VIII (EASTERN VISAYAS),Q1,0.0005832520094826083
Alogbati,REGION VIII (EASTERN VISAYAS),Q2,0.0008037542513414917
Alogbati,REGION VIII (EASTERN VISAYAS),Q3,0.0007909884481176583
Alogbati,REGION VIII (EASTERN VISAYAS),Q4,0.0003051062531797167
Alogbati,REGION X (NORTHERN MINDANAO),Q1,0.020161881783353767
Alogbati,REGION X (NORTHERN MINDANAO),Q2,0.02630643466545021
Alogbati,REGION X (NORTHERN MINDANAO),Q3,0.031682781705306626
Alogbati,REGION X (NORTHERN MINDANAO),Q4,0.08257918735106408
